Link,bus0,bus1,p_nom,carrier,underwater_fraction,efficiency,length,capital_cost,p_nom_min,p_min_pu,p_nom_max,marginal_cost,p_nom_opt,type,build_year,lifetime,p_nom_mod,p_nom_extendable,p_set,p_max_pu,marginal_cost_quadratic,stand_by_cost,terrain_factor,committable,start_up_cost,shut_down_cost,min_up_time,min_down_time,up_time_before,down_time_before,ramp_limit_up,ramp_limit_down,ramp_limit_start_up,ramp_limit_shut_down
p10||p13_fwd,p10,p13,8751.271,AC,,0.973031,434.012117,13107.887025890725,8751.271,0.0,inf,0.00972084743890742,8751.271,,0,inf,0.0,False,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
p10||p27_fwd,p10,p27,472.535,AC,,0.973126,432.483282,13393.11181701703,472.535,0.0,inf,0.009421305255108127,472.535,,0,inf,0.0,False,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
p10||p28_fwd,p10,p28,4899.847,AC,,0.9622269999999999,607.880889,15824.14584506419,4899.847,0.0,inf,0.009842400114340025,4899.847,,0,inf,0.0,False,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
p12||p13_fwd,p12,p13,1195.72,AC,,0.959725,648.145575,12773.779162668,1195.72,0.0,inf,0.00943607087909895,1195.72,,0,inf,0.0,False,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
p12||p15_fwd,p12,p15,500.0,AC,,0.959421,653.037847,12208.356418730107,500.0,0.0,inf,0.010691505014605855,500.0,,0,inf,0.0,False,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
p12||p25_fwd,p12,p25,894.873,AC,,0.954416,733.583312,14236.215073420837,894.873,0.0,inf,0.009912541198083127,894.873,,0,inf,0.0,False,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
p13||p15_fwd,p13,p15,0.0,AC,,0.937132,1011.7347239999999,16858.8953620425,0.0,0.0,inf,0.00955960403687154,0.0,,0,inf,0.0,False,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
p13||p27_fwd,p13,p27,732.565,AC,,0.985236,237.59705199999996,4377.858962466198,732.565,0.0,inf,0.010865783296282964,732.565,,0,inf,0.0,False,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
p13||p28_fwd,p13,p28,4939.872,AC,,0.971147,464.3313289999999,8234.377905246176,4939.872,0.0,inf,0.009628702707258394,4939.872,,0,inf,0.0,False,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
p14||p15_fwd,p14,p15,1850.43,AC,,0.973024,434.12476799999996,8608.447229201245,1850.43,0.0,inf,0.010819429324086676,1850.43,,0,inf,0.0,False,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
p14||p17_fwd,p14,p17,627.498,AC,,0.983212,270.169284,6800.894125637547,627.498,0.0,inf,0.009086836181940554,627.498,,0,inf,0.0,False,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
p15||p16_fwd,p15,p16,2715.636,AC,,0.975324,397.110868,6477.186472596823,2715.636,0.0,inf,0.010414230120535353,2715.636,,0,inf,0.0,False,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
p15||p17_fwd,p15,p17,1810.939,AC,,0.96669,536.05783,12552.814883419655,1810.939,0.0,inf,0.009967778078069253,1810.939,,0,inf,0.0,False,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
p16||p17_fwd,p16,p17,253.186,AC,,0.969058,497.949606,8948.563406221334,253.186,0.0,inf,0.00988844212265596,253.186,,0,inf,0.0,False,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
p16||p21_fwd,p16,p21,2000.056,AC,,0.978339,348.59047300000003,7624.520126104008,2000.056,0.0,inf,0.009072646688703964,2000.056,,0,inf,0.0,False,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
p16||p25_fwd,p16,p25,1497.656,AC,,0.978193,350.940051,5934.167999178716,1497.656,0.0,inf,0.009081366380982763,1497.656,,0,inf,0.0,False,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
p17||p18_fwd,p17,p18,248.996,AC,,0.984697,246.271179,5159.802636935769,248.996,0.0,inf,0.009665507234123882,248.996,,0,inf,0.0,False,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
p17||p20_fwd,p17,p20,573.579,AC,,0.969989,482.967023,9354.563058493653,573.579,0.0,inf,0.010894239079814867,573.579,,0,inf,0.0,False,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
p18||p20_fwd,p18,p20,844.379,AC,,0.980616,311.946712,5462.085244330702,844.379,0.0,inf,0.010235319954229383,844.379,,0,inf,0.0,False,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
p18||p21_fwd,p18,p21,414.0,AC,,0.959733,648.016831,11593.691510765693,414.0,0.0,inf,0.009737749683361854,414.0,,0,inf,0.0,False,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
p18||p22_fwd,p18,p22,402.0,AC,,0.965508,555.079756,9967.341298972291,402.0,0.0,inf,0.01022395407810981,402.0,,0,inf,0.0,False,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
p18||p23_fwd,p18,p23,0.0,AC,,0.957522,683.598454,11180.39426639397,0.0,0.0,inf,0.009412263072570455,0.0,,0,inf,0.0,False,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
p21||p24_fwd,p21,p24,2218.432,AC,,0.975901,387.825207,6923.638900718504,2218.432,0.0,inf,0.009330132885656074,2218.432,,0,inf,0.0,False,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
p21||p25_fwd,p21,p25,345.109,AC,,0.972806,437.633042,8378.248960745359,345.109,0.0,inf,0.009723634531062716,345.109,,0,inf,0.0,False,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
p21||p26_fwd,p21,p26,587.302,AC,,0.977741,358.214087,6558.900380055226,587.302,0.0,inf,0.010726706703080863,587.302,,0,inf,0.0,False,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
p22||p23_fwd,p22,p23,599.02,AC,,0.994178,93.693446,1932.10666790328,599.02,0.0,inf,0.010018803454700447,599.02,,0,inf,0.0,False,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
p22||p24_fwd,p22,p24,402.0,AC,,0.971845,453.098415,7971.19224981964,402.0,0.0,inf,0.00959380303211371,402.0,,0,inf,0.0,False,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
p23||p24_fwd,p23,p24,939.0,AC,,0.974709,407.008063,7061.598277497347,939.0,0.0,inf,0.010900503250138301,939.0,,0,inf,0.0,False,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
p23||p32_fwd,p23,p32,911.352,AC,,0.988419,186.373033,3103.620719373469,911.352,0.0,inf,0.01063193217933412,911.352,,0,inf,0.0,False,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
p24||p33_fwd,p24,p33,5506.697,AC,,0.988942,177.956394,3067.289694873059,5506.697,0.0,inf,0.009645947885604852,5506.697,,0,inf,0.0,False,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
p25||p26_fwd,p25,p26,634.935,AC,,0.984992,241.52374400000002,5094.021832544476,634.935,0.0,inf,0.010944196490455985,634.935,,0,inf,0.0,False,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
p25||p28_fwd,p25,p28,144.702,AC,,0.931099,1108.823793,19424.822196628404,144.702,0.0,inf,0.010974702195660782,144.702,,0,inf,0.0,False,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
p25||p31_fwd,p25,p31,700.0,AC,,0.943687,906.245109,16960.419605510815,700.0,0.0,inf,0.009817320267491556,700.0,,0,inf,0.0,False,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
p25||p33_fwd,p25,p33,2189.623,AC,,0.956826,694.799182,14645.401969706112,2189.623,0.0,inf,0.01031184620577695,2189.623,,0,inf,0.0,False,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
p26||p33_fwd,p26,p33,232.06,AC,,0.971095,465.168165,9792.292847394674,232.06,0.0,inf,0.009811306396902456,232.06,,0,inf,0.0,False,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
p27||p28_fwd,p27,p28,641.178,AC,,0.985009,241.250163,4408.785488794616,641.178,0.0,inf,0.009514696211481143,641.178,,0,inf,0.0,False,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
p28||p29_fwd,p28,p29,928.135,AC,,0.97568,391.38176,8429.758039685657,928.135,0.0,inf,0.009165305351999737,928.135,,0,inf,0.0,False,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
p28||p30_fwd,p28,p30,797.852,AC,,0.987283,204.654681,3479.160748584143,797.852,0.0,inf,0.009527220692235664,797.852,,0,inf,0.0,False,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
p28||p31_fwd,p28,p31,2251.442,AC,,0.963744,583.467808,11717.21973721756,2251.442,0.0,inf,0.00954295970701949,2251.442,,0,inf,0.0,False,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
p29||p30_fwd,p29,p30,445.307,AC,,0.968718,503.421226,10045.508821156345,445.307,0.0,inf,0.009797278159366278,445.307,,0,inf,0.0,False,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
