,,,,Optimal Capacity,Installed Capacity,Supply,Withdrawal,Energy Balance,Transmission,Capacity Factor,Curtailment,Capital Expenditure,Operational Expenditure,Revenue,Market Value
,,,,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050
Generator,p111 solar,p111,Solar,2886.311,,3981664.449,,3981664.449,0.0,0.157,33075.58,116537844.494,42918.829,138855517.611,34.874
Generator,p111 solar existing,p111,Solar,162.6,162.6,224797.838,,224797.838,0.0,0.158,1372.12,1515061.272,2341.096,7822386.872,34.797
Generator,p112 biomass,p112,Biomass,0.0,0.0,,,,0.0,,256817.76,0.0,,,
Generator,p112 hydro,p112,Reservoir & Dam,11.083,11.083,21105.912,,21105.912,0.0,0.217,9.608,1910816.282,208.705,937243.772,44.407
Generator,p112 hydrogen_ct_2050,p112,Hydrogen Combustion Turbine,1372.615,,595018.992,,595018.992,0.0,0.049,11429089.25,131718373.743,119771763.001,251490058.24,422.659
Generator,p112 nuclear_2050,p112,Nuclear,6911.532,,46660554.808,,46660554.808,0.0,0.771,11763454.987,2365839089.095,530469575.415,2896308622.723,62.072
Generator,p112 onwind,p112,Onshore Wind,0.009,,20.564,,20.564,0.0,0.252,1.638,949.184,-265.484,560.034,27.204
Generator,p112 onwind existing,p112,Onshore Wind,0.0,0.0,,,,0.0,,2931238.109,0.0,,,
Generator,p112 solar,p112,Solar,11296.072,,15776396.01,,15776396.01,0.0,0.159,10.206,456090873.297,173351.183,533335214.917,33.806
Generator,p112 solar existing,p112,Solar,2434.4,2434.4,3399940.529,,3399940.529,0.0,0.159,9.756,22683057.568,30876.106,114938268.904,33.806
Generator,p113 hydrogen_ct_2050,p113,Hydrogen Combustion Turbine,357.156,,165275.696,,165275.696,0.0,0.053,2963407.359,34273231.382,33268225.643,67541373.341,408.659
Generator,p113 nuclear_2050,p113,Nuclear,1558.751,,10873609.555,,10873609.555,0.0,0.796,2302700.305,533565378.788,123612969.84,657178276.444,60.438
Generator,p113 onwind,p113,Onshore Wind,0.004,,6.07,,6.07,0.0,0.184,1.137,381.857,-78.366,190.306,31.478
Generator,p113 solar,p113,Solar,2066.507,,2904221.474,,2904221.474,0.0,0.16,12.622,83437401.798,28251.668,96515293.791,33.233
Generator,p113 solar existing,p113,Solar,1021.0,1021.0,1434883.008,,1434883.008,0.0,0.16,13.303,9513392.12,15631.959,47685341.062,33.233
Generator,p114 biomass,p114,Biomass,0.0,0.0,,,,0.0,,39441.024,0.0,,,
Generator,p114 hydro,p114,Reservoir & Dam,4.689,4.689,8923.664,,8923.664,0.0,0.217,9.825,808422.252,86.896,394055.273,44.159
Generator,p114 hydrogen_ct_2050,p114,Hydrogen Combustion Turbine,313.981,,150507.245,,150507.245,0.0,0.055,2599969.758,30130164.381,30295735.649,60425816.436,401.481
Generator,p114 nuclear_2050,p114,Nuclear,3332.901,,23128536.41,,23128536.41,0.0,0.792,5044875.009,1140862433.808,262925668.426,1403788041.449,60.695
Generator,p114 onwind,p114,Onshore Wind,0.002,,2.091,,2.091,0.0,0.122,0.667,199.192,-26.989,73.861,35.125
Generator,p114 solar,p114,Solar,1296.695,,1800538.827,,1800538.827,0.0,0.159,12.65,52355431.428,17104.954,59266181.006,32.916
Generator,p114 solar existing,p114,Solar,280.0,280.0,388787.306,,388787.306,0.0,0.159,12.25,2608961.6,3659.368,12797535.491,32.917
Generator,p115 biomass,p115,Biomass,0.0,0.0,,,,0.0,,42048.0,0.0,,,
Generator,p115 hydro,p115,Reservoir & Dam,159.845,159.845,304542.565,,304542.565,0.0,0.217,5.05,28663254.472,2961.261,13690069.641,44.953
Generator,p115 hydrogen_ct_2050,p115,Hydrogen Combustion Turbine,2212.6,,854333.736,,854333.736,0.0,0.044,18528039.509,212324659.084,171968138.683,384292722.855,449.816
Generator,p115 nuclear,p115,Nuclear,0.006,,31.249,,31.249,0.0,0.568,23.486,2338.864,415.828,2524.433,80.723
Generator,p115 nuclear existing,p115,Nuclear,0.0,0.0,,,,0.0,,,0.0,,,
Generator,p115 nuclear_2050,p115,Nuclear,2640.742,,18675168.659,,18675168.659,0.0,0.807,3647338.614,903934195.152,212331458.901,1116265584.405,59.773
Generator,p115 onwind,p115,Onshore Wind,0.002,,2.342,,2.342,0.0,0.144,0.721,195.045,-30.24,66.171,27.963
Generator,p115 onwind existing,p115,Onshore Wind,0.0,0.0,,,,0.0,,106858.947,0.0,,,
Generator,p115 solar,p115,Solar,1549.382,,2059666.007,,2059666.007,0.0,0.152,2.534,65597156.086,19950.28,69192837.548,33.594
